FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,edge_size,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,30,relative,3,"2,96","2,96",3,"3,02","3,04","3,06","3,1","3,14","3,17","3,19","3,2","3,23","3,26","3,3","3,32","3,35","3,41","3,48","3,53","3,57","3,61","3,64","3,67","3,7","3,74","3,77","3,81","3,86","3,9","3,94",4,"4,04","4,09","4,15","4,19","4,28","4,44"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,30,value,"12798121,76","12605040,03","12555115,94","12640530,06","12696788,55","12729171,55","12772456,67","12857652,49","12959282,93","13042580,57","13042315,18","13013230,68","13059104,58","13105166,04","13167846,32","13203891,41","13277304,99","13433766,37","13577316,05","13694133,98","13772131,85","13856420,61","13937345,77","14007204,1","14090685,49","14204961,36","14320090,73","14439467,36","14599260,08","14743691,3","14874033,87","15070057,53","15200463,97","15352135,06","15508663,7","15639056,98","15877850,2","16385390,45"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,60,relative,"5,27","5,17","5,19","5,26","5,31","5,33","5,37","5,44","5,51","5,57","5,62","5,64","5,69","5,75","5,82","5,86","5,92","6,03","6,14","6,24","6,31","6,38","6,44","6,49","6,54","6,59","6,65","6,7","6,78","6,85","6,92","7,03","7,1","7,18","7,28","7,36","7,5","7,78"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,60,value,"22514171,62","22044104,32","21999031,09","22170154,48","22277486,71","22326551,2","22405353,74","22568540,21","22766906,25","22913992,24","22934535,18","22896532,35","22998406,97","23095142,44","23224864,41","23303263,81","23434866,12","23723061,46","23979773,54","24191718,69","24329505,13","24482236,07","24628847,26","24743249,58","24868638,31","25051226,75","25248329,61","25422679,56","25665127,95","25901763,31","26113528,93","26459768,78","26685161,25","26948005,06","27204968,75","27432104,51","27835818,95","28708491,44"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,90,relative,"7,4","7,23","7,26","7,36","7,43","7,46","7,51","7,61","7,72","7,8","7,87","7,9","7,99","8,07","8,16","8,22","8,31","8,46","8,61","8,75","8,85","8,94","9,02","9,09","9,15","9,22","9,3","9,36","9,45","9,55","9,64","9,79","9,88",10,"10,12","10,23","10,43","10,81"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,90,value,"31601201,41","30816352,67","30786402,8","31039350,93","31188594,51","31238029,02","31348261,99","31589715,13","31889222,58","32081173,01","32124111,48","32078961,54","32248688,05","32397661,47","32599212,27","32705931,45","32877832,05","33282016,35","33628824,5","33921468,57","34106549,11","34324887,36","34528970,06","34673959,94","34818046,99","35045492,02","35314069,46","35506364,2","35793510,55","36099489,8","36364200,69","36844939,86","37145768,41","37508304,57","37835000,78",38142105,"38700595,96","39879316,57"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,120,relative,"8,91","8,69","8,73","8,85","8,94","8,97","9,03","9,15","9,28","9,38","9,46","9,5","9,61","9,71","9,83","9,9","9,99","10,17","10,35","10,52","10,63","10,75","10,84","10,92","10,98","11,06","11,16","11,22","11,31","11,42","11,52","11,7","11,81","11,95","12,08","12,22","12,46","12,91"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,120,value,"38073812,66","37050215,47","37037709,06","37338173,63","37510646,36","37553805,77","37682291,58","37981454,95","38353100,4","38567944,39","38624442,24","38575750,67","38803042,06","38991493,11","39244934,64","39361848,66","39552303,63","40033063,37","40432605,75","40773890,44","40985776,62","41247949,51","41486445,87","41644886,68","41789081,65","42039381,44","42354726,03","42545909,83","42848656,98","43190924,99","43478334,29","44049151,3","44394542,19","44821435,6","45190062,57","45552516,72","46224211,9","47626940,95"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,150,relative,"10,51","10,23","10,29","10,43","10,53","10,56","10,63","10,77","10,93","11,05","11,13","11,18","11,32","11,44","11,58","11,66","11,77","11,98","12,18","12,37","12,5","12,64","12,75","12,83","12,9","12,98","13,09","13,15","13,25","13,37","13,48","13,69","13,81","13,97","14,12","14,28","14,56","15,08"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,150,value,"44919378,2","43634392,31","43649290,25","43986484,2","44178996,26","44216750,8","44361231,8","44724465,18","45172288,38","45404372,68","45468227,8","45418874,71","45714319,73","45949846,55","46257429,74","46374759,34","46577092,34","47131405,96","47574923,51","47959850,59","48193569,94","48502603,4","48771638,97","48934237,86","49070094,56","49337616,41","49696918,11","49877916,07","50187147,1","50561957,71","50866019,26","51528504,79","51915420,07","52403354,34","52808369,06","53229223,77","54025066,99","55660969,17"
