FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,3,0,relative,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,103,1,relative,,"0,23","0,2","0,5","0,51","0,12","0,15","0,25","0,39","0,27","0,2","0,2","0,17","0,23","0,7","0,46","0,21","0,28","0,34","0,32","0,33","0,52","0,24","0,85","0,22","0,11","0,71","0,13","0,26","0,11","0,2","0,54","0,9","0,67","0,18","0,33","0,42","0,13"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,103,1,value,,"977486,6137","863448,7751","2119230,649","2127577,016","507550,9644","615896,1536","1054896,991","1607429,816","1089263,452","831748,065","820783,6166","676863,2542","942232,3657","2814445,575","1821441,379","831645,4291","1083552,599","1333367,479","1236161,41","1288196,073","2008445,802","929388,2831","3236708,201","852634,6079","412103,3256","2684449,086","493041,6971","979897,9065","416335,0289","748095,9496","2042173,473","3366651,495","2501081,624","691791,5423","1221074,043","1564925,78","470405,2938"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,203,2,relative,,,"0,21","0,15","0,41","0,47","0,1","0,11","0,2","0,32","0,23","0,16","0,17","0,13","0,18","0,62","0,4","0,17","0,21","0,27","0,27","0,24","0,43","0,18","0,77","0,2","0,09","0,65","0,11","0,24","0,09","0,15","0,35","0,74","0,59","0,15","0,26","0,38"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,203,2,value,,,"872392,3488","651517,13","1705979,386","1948518,758","427511,875","476717,6344","818142,4819","1322728,643","927178,4164","664249,1183","691900,0664","526893,0335","727547,3074","2456775,362","1594784,92","667388,7872","834287,0327","1065777,174","1022896,667","934548,9799","1635888,108","699998,6693","2931076,217","765797,5981","340967,9569","2476920,357","411523,2352","898001,8236","340985,9741","569219,4628","1320669,376","2767684,289","2199731,846","555295,2612","950485,3857","1397052,877"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,303,3,relative,,,,"0,16","0,13","0,39","0,43","0,09","0,1","0,18","0,3","0,2","0,14","0,15","0,1","0,16","0,59","0,37","0,15","0,19","0,24","0,24","0,22","0,32","0,17","0,76","0,17","0,09","0,58","0,1","0,2","0,07","0,12","0,28","0,73","0,52","0,13","0,24"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,303,3,value,,,,"656760,8056","544920,8459","1632268,461","1797416,5","363886,7959","398366,0726","730387,0982","1206839,746","827038,9565","556445,2024","586550,7707","415874,5658","639753,6059","2327803,841","1452654,583","580302,3435","738142,3256","913496,299","924074,6393","849219,7819","1213654,811","659879,767","2889419,869","630480,9797","331595,1955","2197754,026","382702,9888","768778,4102","270641,947","467604,986","1055199,012","2719272,653","1955476,014","467061,3776","868867,1018"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,403,4,relative,,,,,"0,13","0,13","0,37","0,38","0,08","0,09","0,16","0,28","0,19","0,12","0,13","0,1","0,15","0,56","0,33","0,14","0,18","0,2","0,23","0,19","0,31","0,17","0,46","0,17","0,08","0,57","0,09","0,15","0,07","0,1","0,28","0,69","0,44","0,12"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,403,4,value,,,,,"560771,5864","549870,2063","1560992,324","1559507,467","337165,6071","364307,4919","652117,231","1131893,654","779100,9959","499383,1155","527856,6855","400422,7009","608810,0695","2187958,462","1273325,44","550840,1731","694286,6609","770359,971","893225,2351","727422,1228","1161610,2","661163,8228","1760546,538","626206,9057","319096,5461","2152875,578","343711,8075","556717,3309","246523,6695","380379,8457","1045157,717","2578547,722","1625630,338","451950,4077"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,503,5,relative,,,,,,"0,13","0,13","0,34","0,33","0,08","0,08","0,14","0,27","0,17","0,1","0,12","0,1","0,14","0,49","0,31","0,13","0,17","0,19","0,2","0,18","0,3","0,16","0,45","0,15","0,08","0,54","0,08","0,13","0,06","0,1","0,27","0,66","0,42"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,503,5,value,,,,,,"556569,802","526207,6216","1410669,775","1370407,339","309028,7569","329926,9033","577598,1392","1073059,881","700898,6111","404996,7534","477648,0288","385136,5703","556305,3617","1910657,99","1210393,947","518229,4395","637248,1331","741106,3654","765594,771","691250,2209","1142851,015","608693,9049","1721555,882","586320,6792","314086,4988","2043195,993","304092,5734","487373,4351","220483,6629","370885,8347","1004775,607","2467518,737","1564292,943"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,603,6,relative,,,,,,,"0,13","0,12","0,31","0,31","0,07","0,07","0,13","0,24","0,16","0,1","0,12","0,09","0,14","0,44","0,3","0,13","0,16","0,16","0,19","0,18","0,28","0,16","0,42","0,15","0,08","0,5","0,08","0,11","0,06","0,09","0,26","0,65"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,603,6,value,,,,,,,"537157,1957","487962,1964","1300855,567","1288884,895","284152,5971","303037,2043","541714,515","962459,5623","649524,9677","379225,2341","458551,6458","366853,9537","528488,57","1702676,207","1146133,789","486027,134","620611,2527","621439,972","739026,4769","683160,3795","1065491,066","602204,9542","1599814,026","575454,8793","305326,2956","1889017,413","284689,9651","420607,6675","216763,6453","345277,7494","953703,6038","2410840,676"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,703,7,relative,,,,,,,,"0,12","0,11","0,3","0,29","0,06","0,07","0,12","0,22","0,15","0,09","0,11","0,09","0,13","0,42","0,26","0,12","0,15","0,16","0,19","0,17","0,28","0,16","0,41","0,15","0,07","0,47","0,07","0,11","0,06","0,09","0,25"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,703,7,value,,,,,,,,"498359,32","459039,3789","1225393,881","1184320,112","260065,2641","287652,4222","495305,3228","886107,0645","615085,1235","361915,2776","437736,9019","345227,1577","506456,3905","1623969,584","1008189,004","471072,1528","575402,5262","601317,9094","731718,5879","656261,1749","1062193,422","591353,286","1564993,568","559191,9497","273085,7539","1777151,834","263300,1157","417440,3835","211215,4659","321744,6629","928779,9023"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,803,8,relative,,,,,,,,,"0,12","0,11","0,28","0,27","0,06","0,07","0,11","0,21","0,15","0,09","0,11","0,08","0,13","0,4","0,26","0,12","0,15","0,16","0,19","0,17","0,27","0,15","0,4","0,13","0,07","0,39","0,07","0,11","0,05","0,08"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,803,8,value,,,,,,,,,"475495,8484","433940,8304","1149441,729","1104614,617","247277,9779","270301,2886","433828,6865","847225,2701","598101,8781","345441,2952","415183,02","326488,4191","486435,8277","1524968,086","985226,3434","439760,2511","558683,4542","594998,6152","712096,208","657973,1658","1036787,529","582226,8643","1511283,795","501114,8444","260079,9248","1472650,095","260967,6531","400254,7294","202802,3934","310109,9673"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,903,9,relative,,,,,,,,,,"0,11","0,1","0,26","0,25","0,06","0,06","0,1","0,2","0,15","0,08","0,1","0,08","0,12","0,39","0,22","0,11","0,15","0,15","0,19","0,17","0,27","0,15","0,38","0,13","0,07","0,39","0,07","0,1","0,05"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,903,9,value,,,,,,,,,,"453919,2672","408592,2817","1068140,784","1027789,257","232431,9649","243976,468","408988,3736","806745,6407","579437,3318","330142,1451","395036,4389","313642,0561","460389,0622","1496168,155","845876,7329","427628,9959","558496,5899","575471,685","706775,3803","647244,5338","1027066,095","562525,5668","1412431,757","476123,3332","257707,9181","1456154,773","254242,5216","378816,6982","193886,2054"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1003,10,relative,,,,,,,,,,,"0,11","0,1","0,25","0,24","0,05","0,06","0,1","0,2","0,14","0,08","0,1","0,08","0,12","0,3","0,22","0,11","0,15","0,15","0,18","0,17","0,27","0,14","0,36","0,12","0,07","0,37","0,06","0,1"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1003,10,value,,,,,,,,,,,"431237,1886","388637,2878","1014157,576","963931,7766","214169,8332","225963,0488","389271,0329","779580,2848","559347,8695","318070,1126","381811,6483","301484,8328","456304,7282","1141266,751","832718,616","427257,463","551858,9562","574017,4133","693868,9899","639986,7596","1004025,597","510757,9592","1340586,17","459905,2855","258697,7614","1390562,174","238792,5961","358966,3997"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1103,11,relative,,,,,,,,,,,,"0,1","0,09","0,24","0,21","0,05","0,05","0,09","0,19","0,14","0,08","0,1","0,08","0,11","0,29","0,22","0,11","0,15","0,15","0,18","0,17","0,25","0,12","0,33","0,12","0,07","0,34","0,06"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1103,11,value,,,,,,,,,,,,"411872,4775","373082,4688","957433,0033","853914,0535","202303,0872","212805,5068","369188,4158","753911,6874","536688,3041","308095,7013","366005,8215","295811,1202","438151,7744","1122000,583","831076,3896","420754,6345","555934,0014","564566,4594","684433,5416","630472,0226","950008,0701","464630,4022","1240617,251","452344,7833","255346,4259","1278651,551","230015,4646"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,age,1203,12,relative,,,,,,,,,,,,,"0,1","0,09","0,22","0,2","0,05","0,05","0,09","0,19","0,14","0,08","0,09","0,07","0,11","0,29","0,21","0,11","0,15","0,15","0,18","0,16","0,24","0,12","0,33","0,12","0,07","0,33"
