FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,medium_size,distance,big_size,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,05,1000,relative,"1,17","1,16","1,18","1,21","1,24","1,25","1,28","1,3","1,32","1,34","1,36","1,38","1,41","1,43","1,46","1,48","1,51","1,53","1,56","1,6","1,62","1,64","1,66","1,66","1,67","1,68","1,69","1,69","1,72","1,73","1,74","1,76","1,76","1,78","1,81","1,83","1,85","1,89"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,05,1000,value,"4978691,256","4965777,374","5002166,846","5107578,827","5184685,34","5242524,473","5320124,333","5409667,492","5447955,737","5503876,946","5571160,235","5619315,639","5700212,047","5749210,085","5846848,541","5903273,227","5973052,685","6033062,069","6107298,612","6196591,447","6227939,073","6293862,594","6339193,429","6334195,429","6350414,68","6394394,197","6414718,619","6416404,674","6498314,196","6542192,085","6567993,319","6618885,069","6632631,069","6685968,397","6753537,577","6805299,852","6877406,98","6983552,702"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,05,500,relative,"0,87","0,88","0,9","0,92","0,94","0,96","0,97","0,99",1,"1,02","1,04","1,05","1,08","1,09","1,11","1,12","1,14","1,15","1,18","1,21","1,23","1,24","1,26","1,26","1,26","1,27","1,27","1,28","1,3","1,3","1,31","1,32","1,33","1,33","1,35","1,36","1,38","1,42"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,05,500,value,"3735870,111","3771849,383","3809238,465","3898777,872","3929143,543","4012161,88","4064027,966","4115522,421","4142107,805","4190826,222","4236517,826","4282769,992","4348242,238","4389021,454","4422168,015","4454247,433","4501392,953","4536342,198","4607054,056","4680326,392","4732642,148","4766626,393","4810846,493","4797500,926","4802137,172","4841933,629","4821633,399","4848310,053","4911245,585","4923448,641","4927443,858","4962560,679","4987533,074","5008747,734","5059483,626","5075169,325","5116357,216","5229583,482"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,10,1000,relative,"0,79","0,79","0,8","0,83","0,86","0,87","0,89","0,91","0,92","0,94","0,96","0,96","0,99",1,"1,02","1,04","1,05","1,07","1,09","1,11","1,12","1,14","1,15","1,15","1,14","1,15","1,15","1,15","1,17","1,17","1,18","1,19","1,19","1,2","1,22","1,22","1,25","1,28"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,10,1000,value,"3373910,166","3374249,133","3412436,058","3506776,361","3591139,321","3637095,72","3714384,185","3796677,609","3799732,405","3847036,673","3903760,421","3901859,12","3983941,299","4002281,482","4070267,495","4123763,17","4159749,535","4200313,075","4259745,884","4305170,064","4319213,945","4365905,239","4398534,57","4375010,036","4356085,666","4364157,301","4369462,101","4354545,474","4415641,496","4439787,047","4444707,016","4466367,418","4477619,305","4509285,183","4544504,393","4563751,98","4624374,958","4707602,314"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,10,500,relative,"0,47","0,48","0,49","0,51","0,52","0,54","0,55","0,55","0,56","0,57","0,58","0,59","0,6","0,62","0,62","0,63","0,63","0,64","0,66","0,67","0,69","0,69","0,7","0,7","0,69","0,7","0,69","0,7","0,71","0,71","0,7","0,71","0,71","0,71","0,73","0,73","0,73","0,76"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,10,500,value,"2007643,676","2045227,534","2087653,884","2158577,162","2187238,143","2242088,731","2276889,94","2301252,635","2323237,836","2351225,276","2372931,551","2397774,127","2441964,141","2477618,133","2477689,634","2486262,748","2499302,462","2520043,505","2567479,701","2613649,657","2646068,762","2664096,7","2693299,656","2650927,622","2640281,712","2656936,842","2627063,681","2658606,006","2698483,944","2675851,563","2649345,252","2665261,94","2670607,82","2678724,693","2714786,921","2706395,816","2696578,047","2803393,254"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,20,1000,relative,"0,37","0,38","0,38","0,4","0,43","0,44","0,45","0,47","0,46","0,47","0,49","0,49","0,51","0,51","0,52","0,53","0,53","0,54","0,55","0,56","0,57","0,57","0,58","0,57","0,56","0,56","0,56","0,55","0,56","0,56","0,56","0,56","0,57","0,58","0,58","0,58","0,6","0,63"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,20,1000,value,"1573321,216","1602199,937","1621279,684","1679343,456","1800942,692","1824357,048","1875923,28","1940360,055","1907732,973","1940618,019","2012644,219","1984411,702","2051695,828","2046400,849","2059235,839","2088921,86","2095910,175","2131950,136","2155715,623","2160173,706","2196499,673","2205795,406","2210290,86","2173849,186","2148034,774","2130504,323","2124016,401","2094267,074","2108380,767","2123066,568","2126173,505","2106232,097","2144039,323","2159884,348","2153276,223","2160207,165","2234751,16","2317251,541"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,20,500,relative,"0,13","0,14","0,16","0,16","0,17","0,17","0,17","0,17","0,18","0,19","0,19","0,2","0,2","0,21","0,2","0,2","0,21","0,21","0,21","0,22","0,23","0,22","0,23","0,22","0,22","0,21","0,21","0,22","0,23","0,22","0,21","0,21","0,21","0,21","0,22","0,21","0,21","0,23"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,100,20,500,value,"571635,2342","604059,4235","658639,514","676489,2228","704053,3981","706890,5051","690799,4296","706236,4975","750663,3708","762570,0037","782427,4801","796461,9163","793210,5134","843914,0229","800184,1055","812241,7997","812673,4323","822416,5108","825853,6789","849367,3384","885076,858","862428,1342","888996,6106","823208,927","826124,7391","803469,6027","801329,3337","844236,6773","861032,7296","839342,0934","790954,2397","788192,2642","788947,1234","784376,831","806150,9252","791197,3132","772996,2696","853009,0322"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,05,100,relative,"0,14","0,15","0,15","0,16","0,16","0,16","0,17","0,17","0,17","0,18","0,18","0,18","0,18","0,18","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,2","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19","0,19"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,05,100,value,"596160,2072","629814,5413","639042,8695","665183,7192","677357,9254","689664,4115","698499,8173","705947,5213","713783,9466","719652,646","725039,454","729462,3445","727979,9561","739066,8561","742459,8278","741467,0094","736701,1142","741310,2452","747027,3022","745212,8917","747699,6525","754740,3597","741816,6946","736221,6091","730220,2206","732627,081","723672,6533","714940,3807","731110,373","727750,5176","726530,4376","718479,0112","715894,0942","709937,1086","701043,2874","698432,0412","697685,8847","714863,9586"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,05,1000,relative,"0,71","0,71","0,72","0,74","0,75","0,76","0,77","0,79","0,8","0,81","0,82","0,83","0,85","0,86","0,88","0,89","0,9","0,91","0,93","0,95","0,96","0,97","0,98","0,98","0,98","0,99",1,1,"1,02","1,02","1,03","1,04","1,05","1,06","1,07","1,08","1,1","1,12"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,05,1000,value,"3016833,266","3023450,661","3045563,687","3108531,308","3148718,209","3180016,5","3227155,917","3276296,835","3298168,422","3330307,16","3365190,023","3386891,834","3430906,01","3453813,708","3498857,04","3521870,419","3554643,428","3585548,531","3624089,947","3674772,16","3690748,951","3720682,303","3745521,468","3742985,66","3743481,948","3772162,91","3785621,599","3789689,387","3847102,379","3875491,121","3894218,153","3919952,63","3935926,521","3966031,862","4004686,734","4028766,156","4071925,641","4144259,093"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,05,500,relative,"0,55","0,55","0,56","0,58","0,59","0,6","0,61","0,62","0,63","0,64","0,65","0,65","0,67","0,68","0,68","0,69","0,7","0,71","0,72","0,74","0,75","0,76","0,77","0,77","0,77","0,77","0,77","0,78","0,79","0,79","0,8","0,8","0,81","0,81","0,82","0,83","0,84","0,86"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,05,500,value,"2332270,374","2363066,034","2385078,757","2440777,954","2458637,474","2504681,706","2539383,232","2571606,884","2584307,119","2613066,223","2635458,768","2658805,288","2697534,373","2718094,461","2731473,069","2744178,012","2766659,264","2780619,363","2821379,934","2862061,214","2887317,939","2905294,273","2927958,004","2921617,358","2918967,349","2941386,269","2930582,957","2948195,833","2993504,444","3004011,51","3005918,831","3025295,605","3041552,679","3056296,649","3084969,665","3092498,525","3114186,562","3189474,351"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,10,100,relative,"0,02","0,02","0,02","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03","0,03"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,10,100,value,"89841,16353","102488,7232","105725,814","116255,9696","121154,1805","123904,1856","126096,6354","126889,777","126097,2102","128973,7599","132205,6983","128354,7273","126347,1997","127880,2924","129220,465","128961,5663","128487,5731","126923,8047","124604,8888","116652,8524","118757,8815","119350,1451","112944,7049","113110,1762","110103,8879","108767,0306","105577,9971","105094,1074","110639,7351","108896,0703","108093,6316","104780,2817","103892,6906","100709,9088","100025,0182","98225,829","92827,95409","95276,87454"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,10,1000,relative,"0,49","0,49","0,5","0,52","0,53","0,54","0,55","0,57","0,57","0,58","0,59","0,59","0,61","0,61","0,63","0,63","0,64","0,65","0,66","0,68","0,68","0,69","0,7","0,69","0,69","0,69","0,7","0,7","0,71","0,71","0,72","0,72","0,72","0,73","0,74","0,74","0,76","0,77"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,10,1000,value,"2087953,055","2095474,314","2121798,697","2178557,607","2226616,756","2254924,667","2298461,136","2346018,084","2347990,721","2380457,386","2414809,129","2413057,201","2458398,108","2464198,793","2497132,865","2521358,184","2539906,935","2559696,14","2590706,711","2617932,176","2624987,091","2645114,142","2663695,012","2649886,31","2631240,077","2637810,923","2642188,835","2637689,727","2679862,579","2695276,284","2701588,105","2711207,266","2719776,687","2737384,374","2759362,28","2766731,34","2802504,719","2859280,259"
1,Brasil,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,1,25,10,500,relative,"0,3","0,31","0,32","0,33","0,34","0,35","0,35","0,36","0,36","0,37","0,38","0,38","0,39","0,4","0,4","0,4","0,4","0,41","0,42","0,43","0,43","0,44","0,44","0,44","0,44","0,44","0,44","0,44","0,45","0,45","0,44","0,45","0,45","0,45","0,46","0,46","0,46","0,48"
