FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,edge_size,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,30,relative,"0,58","0,55","0,58","0,62","0,65","0,68","0,7","0,74","0,78","0,82","0,84","0,85","0,88","0,9","0,93","0,95","0,97","1,02","1,07","1,11","1,13","1,16","1,18","1,19","1,21","1,22","1,24","1,25","1,27","1,28","1,29","1,33","1,35","1,37","1,41","1,43","1,49","1,64"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,30,value,"2088781,843","1965685,587","2071261,362","2191899,607","2309759,718","2397456,156","2473106,338","2604485,051","2725649,764","2834359,383","2891149,651","2917194,441","2982781,212","3059201,614","3121663,562","3170550,087","3233346,477","3390912,831","3520275,361","3607852,932","3674520,927","3738007,283","3785680,166","3822487,495","3859770,123","3908671,171","3956485,065","3991021,356","4029504,553","4064326,709","4102934,342","4202045,901","4263081,646","4315337,449","4407115,744","4464452,768","4616056,198","5058784,661"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,60,relative,"1,14","1,08","1,14","1,21","1,27","1,32","1,36","1,44","1,51","1,58","1,62","1,64","1,69","1,74","1,79","1,83","1,87","1,97","2,06","2,13","2,18","2,22","2,26","2,29","2,31","2,34","2,37","2,39","2,42","2,44","2,47","2,54","2,58","2,62","2,68","2,72","2,83","3,08"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,60,value,"4086984,895","3850681,243","4052087,568","4278321,159","4494281,59","4656581,932","4796801,202","5042643,647","5270299,382","5467094,837","5568743,024","5624477,306","5754270,935","5904596,069","6031028,644","6124930,509","6239031,719","6524630,449","6764258,098","6932297,326","7057373,23","7175291,735","7264169,09","7334818,906","7403842,746","7488414,488","7573024,302","7631377,101","7701647,234","7767106,434","7840947,309","8026470,958","8140510,307","8237769,998","8396517,576","8500866,98","8769893,919","9506195,784"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,90,relative,"1,79","1,69","1,78","1,88","1,98","2,05","2,11","2,22","2,33","2,42","2,48","2,52","2,59","2,67","2,75","2,8","2,86",3,"3,13","3,22","3,3","3,37","3,42","3,46","3,5","3,54","3,58","3,6","3,64","3,67","3,72","3,82","3,88","3,93","4,01","4,07","4,22","4,57"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,90,value,"6411407,024","6042359,676","6343637,306","6677638,33","6989843,291","7221692,999","7424032,118","7790884,041","8130216,275","8405051,769","8538320,186","8628190,37","8827679,566","9060502,328","9257245,568","9386717,309","9542195,163","9940745,223","10277691,88","10519902,34","10695823,01","10866523,8","10990062,32","11089343,24","11187299,19","11300605,81","11415304,17","11487683,29","11580780,45","11673778,68","11779252,25","12053508,98","12216862,18","12355416,02","12569784,07","12718577,54","13113334,4","14091633,63"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,120,relative,"2,34","2,21","2,32","2,45","2,56","2,65","2,72","2,87",3,"3,11","3,18","3,23","3,32","3,43","3,53","3,58","3,66","3,82","3,98","4,1","4,19","4,27","4,33","4,38","4,43","4,47","4,52","4,55","4,59","4,63","4,68","4,8","4,88","4,94","5,04","5,12","5,31","5,72"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,120,value,"8374105,442","7891965,356","8269834,153","8683895,331","9066000,536","9343822,537","9588884,308","10048501,7","10472108,14","10801047,38","10951148,21","11070340,7","11326054,2","11624796,44","11875016,79","12024380,82","12204037,16","12678267,5","13079673,04","13370631,53","13578595,63","13784791,76","13927095,99","14040924,54","14156569,45","14288502,14","14422252,39","14501113,53","14604536,92","14713334,55","14838803,55","15178302,7","15374647,42","15538152,21","15791670,29","15974707,71","16467536,42","17632009,6"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,150,relative,"3,01","2,84","2,98","3,13","3,27","3,37","3,46","3,64","3,8","3,93",4,"4,07","4,19","4,33","4,44","4,51","4,59","4,79","4,97","5,11","5,21","5,31","5,38","5,44","5,49","5,54","5,6","5,63","5,67","5,72","5,78","5,93","6,02","6,09","6,21","6,3","6,53","7,02"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,150,value,"10779790,17","10156242,87","10620250,61","11120177,03","11576599,96","11898696,15","12185171,41","12745249,07","13261795,18","13644432,02","13804108,75","13956728,87","14276900,9","14651856,69","14959156,96","15120961,52","15320794,44","15867860,91","16329351,56","16667108,14","16904458,51","17147819,19","17304843,11","17426021,87","17558051,73","17707549,78","17859154,54","17940444,51","18050732,84","18175243,95","18321605,9","18733352,65","18963453,69","19151162,29","19442177,68","19663388,87","20266537,91","21631059,9"
