FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3,0,relative,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,103,1,relative,,"0,19","0,17","0,47","0,46","0,12","0,14","0,25","0,39","0,21","0,16","0,17","0,14","0,23","0,72","0,41","0,2","0,24","0,3","0,29","0,29","0,49","0,25","0,79","0,19","0,1","0,68","0,11","0,15","0,09","0,14","0,48","0,9","0,57","0,16","0,28","0,37","0,06"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,103,1,value,,"676592,1422","593961,1881","1681877,705","1628705,039","420638,2202","480918,0534","859697,3701","1343989,662","729615,5819","542146,4421","577356,2864","480747,3075","781682,0163","2429357,778","1360981,641","657393,2379","782994,2849","992630,0196","932353,4932","927813,6072","1586243,509","799407,2087","2525503,897","623413,3034","314900,4595","2172450,707","351410,9356","481533,1017","272506,4101","428897,559","1507982,242","2826113,916","1778650,994","513189,932","881298,5806","1141110,689","188852,9116"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,203,2,relative,,,"0,16","0,12","0,37","0,42","0,1","0,1","0,18","0,32","0,17","0,11","0,14","0,1","0,17","0,63","0,35","0,15","0,17","0,23","0,23","0,2","0,38","0,18","0,71","0,17","0,08","0,62","0,09","0,13","0,07","0,09","0,28","0,75","0,49","0,13","0,2","0,32"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,203,2,value,,,"575127,5977","408750,7344","1318983,924","1471907,297","347470,5614","348004,0699","641097,3243","1098844,061","587800,6238","390473,0681","464918,9486","342084,9256","580694,0422","2097838,914","1154293,151","509492,5826","557427,4135","751625,3036","753001,2725","636703,5769","1234170,915","590983,188","2275036,974","550329,7339","257991,2153","1989636,717","282935,3431","420510,5991","214013,3039","292447,8997","888074,9585","2368917,364","1531473,933","394177,0092","633837,1698","984979,2967"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,303,3,relative,,,,"0,11","0,09","0,35","0,38","0,08","0,08","0,16","0,29","0,15","0,09","0,11","0,08","0,15","0,6","0,31","0,13","0,15","0,2","0,21","0,18","0,28","0,18","0,7","0,14","0,08","0,57","0,08","0,12","0,05","0,08","0,23","0,75","0,44","0,1","0,19"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,303,3,value,,,,"393742,1729","330555,9603","1251930,783","1342591,859","287019,008","278011,8642","570764,3511","992529,5554","512244,0574","304511,2859","375727,0212","261813,5534","512878,5153","1988129,347","1043507,566","440908,5777","480801,7504","634789,3045","676280,9198","568613,807","885840,8733","561389,3933","2249859,449","449631,2117","253070,9221","1827518,779","264141,4104","374430,5577","171297,2607","252319,7175","729463,845","2348785,862","1363465,321","320041,1106","595475,7435"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,403,4,relative,,,,,"0,09","0,1","0,34","0,32","0,08","0,07","0,14","0,27","0,14","0,08","0,1","0,08","0,15","0,56","0,28","0,13","0,14","0,16","0,2","0,16","0,27","0,18","0,4","0,14","0,08","0,57","0,07","0,08","0,05","0,07","0,23","0,72","0,35","0,1"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,403,4,value,,,,,"325049,734","337795,7178","1188923,479","1123699,378","262144,1762","252598,8842","499052,0533","921863,7638","476626,6691","255259,2687","329112,1955","258726,6226","486491,6998","1866559,6","905586,5436","416854,9613","456043,5549","520740,4257","650891,823","501755,2024","848447,9442","563745,1119","1270642,99","452694,6785","248806,5264","1797719,628","235118,7083","241442,9546","160941,83","221059,9823","731406,7365","2239376,638","1071012,409","305611,8377"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,503,5,relative,,,,,,"0,09","0,09","0,3","0,27","0,07","0,06","0,13","0,25","0,12","0,05","0,09","0,07","0,13","0,49","0,26","0,12","0,13","0,16","0,17","0,15","0,26","0,16","0,39","0,13","0,08","0,54","0,06","0,07","0,05","0,07","0,23","0,69","0,33"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,503,5,value,,,,,,"323038,1238","319863,8616","1048924,485","940330,3059","238312,5356","223543,2699","436346,8824","868701,6844","408770,263","184542,3438","307293,3091","249756,9303","441123,3399","1615187,209","856334,3746","394830,0202","421933,8777","499006,9689","550992,1131","476407,8869","833844,1623","522062,0931","1253443,668","424880,8765","243865,7728","1723449,193","205136,8551","218192,1186","148484,2024","215832,425","707535,226","2140877,67","1020421,087"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,603,6,relative,,,,,,,"0,09","0,08","0,27","0,25","0,06","0,06","0,12","0,23","0,11","0,05","0,09","0,07","0,13","0,43","0,25","0,11","0,13","0,13","0,17","0,15","0,24","0,16","0,38","0,13","0,07","0,51","0,06","0,06","0,05","0,07","0,21","0,68"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,603,6,value,,,,,,,"309079,5335","284888,5217","946514,8842","878599,9605","217230,2545","200211,8937","405405,3633","762947,1797","378110,2725","171744,6185","292621,5646","238496,3953","420199,2805","1416033,558","808139,4633","369291,9036","411652,9599","416623,95","531342,7931","469506,2449","777660,6698","517970,6309","1203115,983","416145,1147","235923,9438","1597519,166","189985,9192","196841,8428","146571,5806","207397,4086","662341,246","2085614,512"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,703,7,relative,,,,,,,,"0,08","0,07","0,26","0,23","0,06","0,06","0,11","0,21","0,11","0,05","0,08","0,07","0,12","0,42","0,21","0,11","0,12","0,13","0,16","0,15","0,24","0,16","0,37","0,13","0,07","0,48","0,06","0,06","0,05","0,06","0,21"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,703,7,value,,,,,,,,"275628,8613","260280,7227","884855,285","805367,6532","195632,6829","188399,0923","363986,8693","696408,9447","366938,2245","159162,2124","281817,6177","224528,36","403309,6047","1352924,64","692122,0233","356675,7236","391002,7685","404721,3891","524788,3155","463819,496","779979,9342","511992,5727","1179869,124","404823,0851","206147,193","1504598,142","175517,2854","198172,7374","143862,8922","189572,7244","634608,8644"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,803,8,relative,,,,,,,,,"0,07","0,07","0,24","0,22","0,05","0,05","0,09","0,2","0,11","0,05","0,08","0,06","0,12","0,39","0,21","0,1","0,12","0,13","0,16","0,15","0,24","0,16","0,36","0,11","0,06","0,39","0,06","0,06","0,04","0,06"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,803,8,value,,,,,,,,,"256843,2384","246735,391","823530,1176","745207,2345","185537,4109","173620,2442","308518,0314","665416,4253","355381,9458","150368,8918","272530,5252","209866,844","389168,0694","1268988,005","674731,7665","334743,8672","380431,1083","401347,0541","512795,0573","470538,3807","773825,7632","503702,6718","1151798,158","354806,0928","195209,3763","1228487,81","173874,2944","193032,779","137441,7357","182016,9674"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,903,9,relative,,,,,,,,,,"0,07","0,07","0,22","0,2","0,05","0,05","0,09","0,19","0,1","0,04","0,08","0,06","0,11","0,39","0,17","0,1","0,12","0,12","0,16","0,15","0,24","0,15","0,34","0,11","0,06","0,39","0,05","0,06","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,903,9,value,,,,,,,,,,"244884,0652","230217,0991","748054,0567","688327,9283","172501,4099","152213,056","294657,5194","629380,0078","345836,9396","143774,0537","256814,9505","203111,88","368971,0227","1245004,412","560658,1034","326054,5413","382423,0309","394894,2513","511621,3397","470163,0039","768385,7472","485467,6766","1078584,846","336182,448","194956,3176","1213663,547","171018,0785","181462,6463","128109,831"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1003,10,relative,,,,,,,,,,,"0,07","0,06","0,21","0,19","0,05","0,04","0,08","0,18","0,1","0,04","0,08","0,06","0,11","0,29","0,17","0,1","0,12","0,12","0,16","0,15","0,24","0,14","0,33","0,1","0,06","0,37","0,05","0,05"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1003,10,value,,,,,,,,,,,"232244,0731","214310,7959","705134,5108","632475,1486","157682,5819","138354,7093","276656,0146","607488,8217","335908,1653","138686,477","249117,007","195685,5298","366408,3367","928821,1752","552672,3351","326310,9164","385682,3159","397875,8919","505576,6786","465319,1318","751422,6728","437131,1255","1024418,364","324561,2336","196783,1765","1168331,654","159653,2558","166200,9652"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1103,11,relative,,,,,,,,,,,,"0,06","0,06","0,19","0,16","0,04","0,04","0,08","0,18","0,1","0,04","0,07","0,06","0,11","0,29","0,17","0,1","0,12","0,12","0,16","0,14","0,22","0,13","0,3","0,1","0,06","0,34","0,05"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1103,11,value,,,,,,,,,,,,"217646,9342","204708,1553","652628,9814","543584,0241","148173,0485","126844,7088","260715,0394","587775,9736","323014,2476","135483,4995","239173,5302","191949,2181","354435,9849","916709,3975","553305,7402","323957,738","392680,7815","396078,4211","497421,2421","459381,6579","709090,7622","394023,6844","951879,4004","319674,2336","195413,2039","1064749,962","152363,996"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1203,12,relative,,,,,,,,,,,,,"0,06","0,06","0,18","0,15","0,04","0,04","0,08","0,17","0,1","0,04","0,07","0,06","0,11","0,29","0,16","0,1","0,12","0,12","0,15","0,14","0,22","0,12","0,3","0,1","0,06","0,33"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1203,12,value,,,,,,,,,,,,,"208405,5357","192890,3543","596563,0001","503549,4028","138912,2636","120796,1058","246880,5991","564963,7418","317010,9964","131137,9896","236612,3614","184888,7667","349695,3115","913743,0491","526125,8621","327874,8235","395013,2067","391176,2447","488449,694","444202,9206","685802,2576","382446,1242","942825,6775","311848,8235","191950,3339","1018414,526"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1303,13,relative,,,,,,,,,,,,,,"0,06","0,05","0,16","0,14","0,04","0,03","0,07","0,17","0,1","0,04","0,07","0,06","0,11","0,28","0,17","0,1","0,12","0,12","0,15","0,14","0,21","0,12","0,29","0,1","0,06"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1303,13,value,,,,,,,,,,,,,,"193252,1032","175578,8006","548836,5175","468393,1482","130798,9462","114963,6652","233156,4855","545587,5677","307360,4018","131370,0381","229481,2836","181746,9365","352158,9975","893793,6773","529762,756","327931,506","393710,3875","385765,8514","471363,5048","433751,3285","667988,0985","377525,0617","897919,9325","301228,4468","185080,301"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1403,14,relative,,,,,,,,,,,,,,,"0,05","0,05","0,15","0,13","0,04","0,03","0,07","0,16","0,09","0,04","0,07","0,06","0,11","0,28","0,17","0,1","0,12","0,12","0,14","0,14","0,21","0,12","0,28","0,09"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1403,14,value,,,,,,,,,,,,,,,"178004,8204","164287,5141","507088,5062","446615,4306","125703,3762","110449,2914","223553,765","510795,2504","305010,5412","125487,1718","225054,9117","183727,8054","353482,5887","897216,5004","530842,0696","326544,3632","389430,2338","371812,2401","443459,3477","425059,4337","653534,6801","369674,0137","861974,1883","288865,044"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1503,15,relative,,,,,,,,,,,,,,,,"0,05","0,05","0,14","0,13","0,04","0,03","0,07","0,15","0,09","0,04","0,07","0,06","0,11","0,28","0,17","0,1","0,12","0,11","0,14","0,13","0,2","0,12","0,27"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1503,15,value,,,,,,,,,,,,,,,,"169427,7393","153270,8498","475753,4263","433087,2415","120203,0416","108035,203","212024,1543","495186,4967","295899,617","123693,3733","226313,1158","186223,8576","358390,0019","891188,8657","526471,8988","322869,1264","379047,7211","356781,6379","435031,7534","418250,1435","638300,41","357237,4039","827245,2659"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1603,16,relative,,,,,,,,,,,,,,,,,"0,05","0,04","0,14","0,13","0,04","0,03","0,06","0,15","0,09","0,04","0,07","0,06","0,11","0,28","0,16","0,1","0,12","0,11","0,14","0,13","0,2","0,11"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1603,16,value,,,,,,,,,,,,,,,,,"159485,5586","144896,946","447859,5715","412422,8818","115867,32","104650,1265","208732,9177","473753,3698","290663,142","123203,1851","226365,5283","188092,9216","357643,9764","889190,283","520152,6882","314631,2757","370226,2745","348116,7526","427549,0261","408693,9249","613568,4914","341138,0599"
