FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,medium_size,distance,big_size,key,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,05,1000,relative,0,0,0,0,"0,01","0,01","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,05","0,06","0,07","0,07","0,08","0,09","0,1","0,11","0,12","0,13","0,13","0,13","0,14","0,14","0,14","0,14","0,14","0,14","0,15","0,15","0,16","0,16","0,17","0,18","0,2"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,05,1000,value,"7649,424325","6835,728658","10387,35213","17146,04333","26870,70513","29794,65276","31717,6816","49376,69633","65102,14953","79538,62316","92418,57174","119296,7939","134236,6946","172855,5576","213926,9693","225477,9427","250024,9573","269232,0316","302565,9185","339423,0452","359419,039","393187,6779","405057,1666","421422,337","428274,7558","440189,9549","445575,0074","444222,7495","450059,1029","449494,2384","458075,3203","466681,7669","472561,2156","491722,9067","512951,478","531166,0505","553555,9186","626468,656"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,05,500,relative,0,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,02","0,02","0,03","0,03","0,04","0,04","0,05","0,06","0,06","0,07","0,07","0,08","0,08","0,08","0,08","0,08","0,08","0,09","0,08","0,09","0,09","0,09","0,1","0,1","0,1","0,11","0,13"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,05,500,value,"4108,114757","3138,146672","4015,559981","5990,770666","9710,85774","11522,02809","14872,27785","24801,17793","30725,53447","40132,00308","50667,42474","67195,33537","79471,73063","95905,23762","114771,6063","128824,7855","147436,7994","160973,8367","184623,4908","202758,9179","218940,1145","227888,2585","244225,5118","252142,4705","253298,9277","261785,385","265461,6358","270420,8228","274731,2273","267772,6742","277550,8324","285507,5001","290761,1699","301265,2314","317838,4806","318945,4968","346328,0988","410080,6917"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,10,1000,relative,0,0,0,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,02","0,02","0,02","0,03","0,03","0,03","0,04","0,04","0,04","0,04","0,05","0,05","0,05","0,05","0,05","0,05","0,05","0,05","0,05","0,05","0,05","0,06","0,06","0,06","0,08"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,10,1000,value,"216,5937116","370,0890603","654,1587809","828,6846983","2033,334767","3597,367692","2841,701929","7541,329639","13020,94872","19457,49514","22431,57944","31009,39584","38448,41894","51447,46935","71329,50612","78313,98473","88662,04816","92279,12346","108267,8871","121155,6974","128010,5395","142927,7683","144532,9354","157938,243","156322,2814","159899,6413","160394,1155","156656,1931","165726,005","163656,4379","166154,3443","166846,5715","166229,3265","169159,6716","174338,0486","176766,5335","186034,6511","231723,5583"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,10,500,relative,,,,,0,0,0,0,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,04"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,10,500,value,,,,,"5,44223476","10,52061974","109,5299801","1351,183122","1761,507635","5364,133208","8038,456768","10688,42536","14554,25816","16487,68564","27722,82999","31999,8223","36317,36676","39564,77426","44718,96664","44679,29231","46261,25717","47735,48716","54802,99846","62594,72013","58392,65661","58009,15215","57179,69619","62577,45758","70161,08581","62471,2489","65762,39891","64461,63807","63661,32683","67947,58302","72593,18023","68990,35451","76623,6893","111418,9325"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,20,1000,relative,,,,,,,,,,,0,0,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,20,1000,value,,,,,,,,,,,"346,2384953","502,3263072","2133,312431","6831,318691","9269,701594","10202,89607","12951,4152","14471,48554","17238,06055","21897,62593","23796,40448","25522,92234","25279,53287","27434,19867","27838,77787","27071,07148","22870,90872","24260,50759","28805,29746","27594,46302","27777,74496","27124,68617","27084,26265","27448,26744","28196,68826","28355,0777","29494,26001","45662,40852"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,20,500,relative,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,100,20,500,value,,,,,,,,,,,,"10,78751558","2,942020825","34,59135243","144,6050108","588,043079","888,1879276","1098,677228","1043,507871","1474,851643","1758,350849","1615,001624","1657,479673","2228,041049","1590,889471","1609,834758","1399,812309","3840,670729","5685,823434","3386,246054","3269,433249","3063,04001","3100,364792","3757,714789","4356,553142","4225,459719","4875,331739","8040,018297"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,25,05,100,relative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,01"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,25,05,100,value,"17,86708011","20,92796681","142,2658455","92,07994406","332,1163767","439,2455955","554,5096405","954,0651259","1430,069908","2139,155875","3385,576182","5725,609213","4859,841507","6657,007631","7848,620634","8766,167737","9675,765211","10817,21736","13310,30614","14515,1651","14044,25659","15075,10134","16670,13212","18560,30526","19358,97802","20148,24946","18916,05053","18435,79181","17787,95776","17694,28612","17319,37275","17975,70521","18228,60658","18536,49215","19474,03877","19662,07981","20088,16058","33617,85839"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,25,05,1000,relative,0,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,02","0,02","0,03","0,03","0,03","0,04","0,04","0,05","0,05","0,05","0,06","0,06","0,06","0,07","0,07","0,07","0,07","0,07","0,07","0,07","0,07","0,07","0,08","0,08","0,08","0,09","0,1"
