FEATURE_ID,NAME,LEVEL_1,GEOCODE,index,class_id,level_0,level_1,level_2,level_3,level_4,color,feature_id,theme,raw,value,key,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,3,0,relative,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,103,1,relative,"0,22","0,09","0,1","0,18","0,18","0,14","0,12","0,08","0,14","0,14","0,11","0,15","0,12","0,11","0,19","0,16","0,15","0,17","0,16","0,18","0,16","0,18","0,2","0,15","0,21","0,22","0,24","0,22","0,19","0,19","0,2","0,2","0,22","0,24","0,21",0,0
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,103,1,value,"770833,7068","337789,477","348583,8865","644606,3813","619907,2411","500500,7092","421861,1564","293854,5902","500543,7418","480747,0424","360336,5252","494387,2091","404294,9976","357731,294","622867,5084","531129,0483","493663,7307","562403,2724","520657,5438","590899,8388","518401,82","580378,8477","626903,7263","486128,5265","672760,894","688641,0763","760625,2648","709825,5976","589841,3365","610189,7026","624062,6632","618610,0655","698446,2229","749983,6819","650363,4365","1255,146857","2317,620574"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,203,2,relative,,"0,22","0,1","0,1","0,18","0,18","0,14","0,12","0,09","0,15","0,14","0,11","0,15","0,12","0,11","0,19","0,16","0,15","0,17","0,16","0,18","0,16","0,18","0,2","0,15","0,21","0,22","0,24","0,22","0,19","0,19","0,2","0,2","0,22","0,24","0,21",0
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,203,2,value,,"772706,0412","338982,7424","349778,3974","646800,6304","621259,9115","501526,9148","423484,9854","295311,9887","501784,5984","481499,778","361767,2807","495969,3506","405635,8567","358577,9475","623822,1723","531666,567","494177,2327","562715,1434","521459,5578","591428,7529","518815,4231","580679,448","626586,713","486606,2968","672693,6389","687684,0843","759869,9449","709000,0711","590015,4162","610383,6996","624105,6299","618805,6617","698240,8055","749723,9906","650392,3951","1741,759275"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,303,3,relative,,,"0,22","0,1","0,1","0,18","0,18","0,14","0,12","0,09","0,15","0,14","0,11","0,15","0,12","0,11","0,19","0,16","0,15","0,17","0,16","0,18","0,16","0,18","0,2","0,15","0,21","0,22","0,24","0,22","0,19","0,19","0,2","0,2","0,22","0,24","0,18"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,303,3,value,,,"770985,6569","338325,0134","349723,9595","646411,1281","620505,6751","500881,4258","423171,0783","295237,7979","500899,4884","480017,996","361021,7273","495263,0297","405867,4447","358562,5293","623610,8669","531769,9425","494045,1232","562724,0221","521273,6269","591329,511","518646,7056","580168,893","626529,5089","486744,1889","672653,2487","687761,2355","759909,9142","708973,2094","589960,1965","610418,5523","624227,7135","618456,1354","697968,1094","748919,577","557673,2913"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,403,4,relative,,,,"0,2","0,09","0,09","0,16","0,16","0,12","0,1","0,07","0,13","0,12","0,09","0,13","0,1","0,1","0,17","0,14","0,13","0,16","0,14","0,16","0,15","0,16","0,18","0,14","0,19","0,19","0,21","0,2","0,17","0,18","0,18","0,18","0,21","0,21"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,403,4,value,,,,"699209,2249","305770,8925","319934,4922","561584,6465","544643,6932","431084,0361","354768,9524","250522,9396","431219,0456","408099,944","311962,4334","432105,4263","342592,6448","315138,5028","543580,0166","452227,5156","437132,23","504600,0943","460307,3146","517632,3861","464766,888","525708,2178","571832,3347","438158,2421","600259,1626","614878,9956","671924,6839","623601,6704","534512,6553","551118,4169","548875,2243","557704,4377","653079,7372","635709,0763"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,503,5,relative,,,,,"0,19","0,08","0,08","0,14","0,14","0,11","0,09","0,06","0,11","0,11","0,08","0,11","0,09","0,08","0,15","0,12","0,12","0,14","0,13","0,15","0,13","0,15","0,16","0,12","0,17","0,17","0,19","0,18","0,15","0,16","0,16","0,17","0,18"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,503,5,value,,,,,"658176,6794","280679,1873","279819,3405","500698,5499","481938,8357","371941,5866","306096,8533","214116,1353","365653,5345","362166,5951","276201,3035","375795,9371","300220,1335","277077,5171","480666,459","401435,9884","388106,0912","457193,8697","409644,5117","468932,7786","423133,7082","483547,3098","519574,1867","392796,3022","539905,3855","547550,7708","589957,1326","565870,4596","485333,7663","492354,8982","499364,4426","518822,1553","567200,9253"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,603,6,relative,,,,,,"0,17","0,07","0,07","0,13","0,12","0,1","0,08","0,05","0,1","0,1","0,07","0,1","0,08","0,08","0,13","0,11","0,11","0,13","0,12","0,14","0,12","0,14","0,15","0,11","0,15","0,16","0,17","0,16","0,14","0,15","0,15","0,14"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,603,6,value,,,,,,"614380,2731","249976,9012","251963,5199","451348,031","410480,5564","328760,8904","269767,6689","185896,6105","320083,5504","325534,2486","242254,2944","336624,3988","263793,6017","247274,2544","435484,9593","357976,112","350113,714","415083,6148","376213,5619","433093,8371","391312,2161","443919,1542","474031,3414","356294,9526","486035,6262","489784,2832","539429,5443","517811,1606","438993,6263","454229,7519","465539,4783","442514,6574"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,703,7,relative,,,,,,,"0,16","0,07","0,07","0,12","0,11","0,09","0,07","0,05","0,08","0,09","0,07","0,09","0,07","0,07","0,12","0,1","0,1","0,12","0,11","0,13","0,11","0,13","0,14","0,1","0,14","0,14","0,16","0,15","0,13","0,14","0,13"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,703,7,value,,,,,,,"560867,3489","229988,1386","229612,5777","397756,3263","368491,7388","296641,7642","240575,5284","164511,9669","284721,7118","292115,7393","217924,5272","302197,8683","237325,5401","226274,4805","397582,8709","325757,549","319797,073","388653,5815","351762,6858","404182,0723","362952,9412","408754,1775","437105,8405","324829,7351","442444,5575","452320,7867","499941,5362","476323,48","410290,7449","428045,8527","402890,3034"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,803,8,relative,,,,,,,,"0,15","0,06","0,06","0,11","0,1","0,08","0,07","0,04","0,08","0,08","0,06","0,08","0,07","0,07","0,11","0,09","0,09","0,12","0,1","0,12","0,11","0,12","0,13","0,09","0,13","0,13","0,15","0,14","0,12","0,12"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,803,8,value,,,,,,,,"518556,5855","212207,948","206713,6462","360612,3577","334105,043","265650,9488","219950,0208","146849,1226","254953,3963","266516,2021","196337,3269","273821,1722","218805,3357","210374,5313","368275,5662","298771,0556","299626,8081","368334,7481","331864,8234","378886,2408","338550,628","381372,0066","399730,0867","297902,9368","412509,2788","421593,6643","464753,8156","449150,0862","386235,7355","372777,8463"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,903,9,relative,,,,,,,,,"0,14","0,05","0,06","0,1","0,09","0,07","0,06","0,04","0,07","0,07","0,06","0,08","0,06","0,06","0,11","0,09","0,09","0,11","0,1","0,11","0,1","0,11","0,12","0,09","0,12","0,13","0,14","0,14","0,11"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,903,9,value,,,,,,,,,"482821,2849","188619,4227","190321,9047","330007,03","305870,2474","241535,1738","201308,3331","130520,7585","232463,9713","244960,1457","180529,2598","254086,5938","203923,439","197184,3747","343296,8601","281363,1647","283562,834","351189,7977","313502,1963","355352,3602","316916,6537","354831,4909","368033,9591","278736,5837","387445,4554","394831,2403","442991,5015","425160,1963","343666,3383"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1003,10,relative,,,,,,,,,,"0,13","0,05","0,05","0,09","0,08","0,07","0,05","0,04","0,06","0,07","0,05","0,07","0,06","0,06","0,1","0,08","0,08","0,1","0,09","0,11","0,09","0,1","0,11","0,08","0,12","0,12","0,14","0,13"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1003,10,value,,,,,,,,,,"448052,0871","175111,5885","174436,7947","305681,5665","280558,2773","218354,1735","182843,7811","119002,566","211606,4065","228591,7562","168468,8622","237728,7246","190881,2549","184485,7469","325098,5615","267059,2365","269759,0945","334325,5681","295816,6589","335328,099","296572,4404","330110,4244","346198,5904","262220,8116","365011,201","375612,8466","419957,7331","386295,5435"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1103,11,relative,,,,,,,,,,,"0,12","0,05","0,05","0,08","0,08","0,06","0,05","0,03","0,06","0,07","0,05","0,07","0,06","0,06","0,1","0,08","0,08","0,1","0,09","0,1","0,09","0,1","0,1","0,08","0,11","0,12","0,12"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1103,11,value,,,,,,,,,,,"420624,775","161130,8284","162651,7451","285063,3069","255083,9424","198646,3425","169891,3378","109111,354","195371,0126","216126,8143","158979,6216","224087,9674","178843,1499","176267,7107","308758,7673","255021,2793","256700,1193","317342,441","280215,9924","316750,8651","278208,432","311562,6626","328805,8503","248060,2495","348869,9989","357285,8101","383905,3534"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1203,12,relative,,,,,,,,,,,,"0,12","0,04","0,05","0,08","0,07","0,06","0,05","0,03","0,06","0,06","0,05","0,07","0,05","0,05","0,09","0,08","0,08","0,1","0,08","0,1","0,08","0,09","0,1","0,08","0,11","0,11"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1203,12,value,,,,,,,,,,,,"398941,7477","149279,1788","152133,5649","261055,3205","233481,784","182898,435","157787,3811","101377,2868","183619,5256","205943,001","150374,1014","210576,9471","171343,0381","169540,0052","295238,6804","243704,4371","244971,8561","303379,249","265496,1331","300681,7829","264505,3124","296264,171","312808,5286","237321,2122","333078,8076","329120,4835"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1303,13,relative,,,,,,,,,,,,,"0,11","0,04","0,04","0,07","0,07","0,05","0,05","0,03","0,05","0,06","0,04","0,06","0,05","0,05","0,09","0,07","0,07","0,09","0,08","0,09","0,08","0,09","0,1","0,07","0,1"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1303,13,value,,,,,,,,,,,,,"377173,5253","140539,1614","143744,3086","238927,0307","215994,9508","168146,7746","147633,498","95138,05951","174387,258","196138,1945","142073,6475","202077,2712","165480,9458","163712,9569","282120,8967","232966,2989","234828,532","288687,0829","251917,926","287738,3195","252196,0927","282628,7506","300669,2341","226446,64","310024,5496"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1403,14,relative,,,,,,,,,,,,,,"0,11","0,04","0,04","0,07","0,06","0,05","0,04","0,03","0,05","0,06","0,04","0,06","0,05","0,05","0,08","0,07","0,07","0,09","0,08","0,09","0,08","0,09","0,09","0,07"
2,Amazônia,,,1110,3,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,#006400,2,age,1403,14,value,,,,,,,,,,,,,,"355553,3626","133035,1025","134421,8759","221562,4014","199698,733","157774,5905","139897,7859","90091,05438","166108,7281","186713,5807","136390,2325","195388,7559","160329,2825","158221,8915","270309,6768","224078,0705","224544,5488","274252,708","241042,4938","275325,3475","241673,3344","272326,0865","288636,517","210066,2836"
